2026-03-20 22:38:09,146 INFO [main]	register protocol:1 success
2026-03-20 22:38:09,198 INFO [main]	register protocol:29 success
2026-03-20 22:38:09,203 INFO [main]	register protocol:4 success
2026-03-20 22:38:09,208 INFO [main]	register protocol:3 success
2026-03-20 22:38:09,209 INFO [main]	register protocol:31 success
2026-03-20 22:38:09,209 INFO [main]	register protocol:28 success
2026-03-20 22:38:09,211 INFO [main]	register protocol:32 success
2026-03-20 22:38:09,211 INFO [main]	register protocol:33 success
2026-03-20 22:38:09,211 INFO [main]	register protocol:30 success
2026-03-20 22:38:09,214 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2026-03-20 22:38:09,214 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2026-03-20 22:38:09,214 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2026-03-20 22:38:09,214 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-1
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-2
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-3
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-4
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-5
2026-03-20 22:38:09,221 INFO [main]	create thread:server-work-thread-6
2026-03-20 22:38:09,222 INFO [main]	create thread:server-work-thread-7
2026-03-20 22:38:09,222 INFO [main]	create thread:server-work-thread-8
2026-03-20 22:38:09,222 INFO [main]	create thread:server-work-thread-9
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-10
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-11
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-12
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-13
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-14
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-15
2026-03-20 22:38:09,223 INFO [main]	create thread:server-work-thread-16
2026-03-20 22:38:10,483 INFO [main]	use jdk nio event mode
2026-03-20 22:38:10,518 INFO [main]	create thread:timeout-timer-thread-1
2026-03-20 22:38:10,792 WARN [main]	meta file not exist, name=./data\log\metadata
2026-03-20 22:38:10,804 WARN [main]	meta file not exist, name=./data\snapshot\metadata
2026-03-20 22:38:10,865 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:10,875 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:10,876 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:10,881 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:10,881 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:10,885 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:10,885 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:10,885 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:10,894 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2026-03-20 22:38:10,896 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2026-03-20 22:38:10,896 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2026-03-20 22:38:10,899 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2026-03-20 22:38:10,899 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2026-03-20 22:38:10,902 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2026-03-20 22:38:10,902 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2026-03-20 22:38:10,904 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2026-03-20 22:38:10,909 DEBUG [main]	serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
2026-03-20 22:38:10,913 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
2026-03-20 22:38:10,913 DEBUG [main]	serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=set
2026-03-20 22:38:10,915 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=set
2026-03-20 22:38:11,073 INFO [main]	create thread:server-acceptor-thread-1
2026-03-20 22:38:11,076 INFO [main]	server started on port=8052 success
2026-03-20 22:38:11,085 INFO [main]	create thread:fairStrategy-timer-thread-1
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-1
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-2
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-3
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-4
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-5
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-6
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-7
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-8
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-9
2026-03-20 22:38:11,089 INFO [main]	create thread:client-work-thread-10
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-11
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-12
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-13
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-14
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-15
2026-03-20 22:38:11,090 INFO [main]	create thread:client-work-thread-16
2026-03-20 22:38:12,551 INFO [main]	create thread:client-io-thread-1
2026-03-20 22:38:12,567 DEBUG [client-io-thread-1]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0x91160771, L:/127.0.0.1:51144 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,568 INFO [main]	create thread:client-io-thread-2
2026-03-20 22:38:12,571 DEBUG [client-io-thread-2]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0x440f9e97, L:/127.0.0.1:51145 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,572 INFO [main]	create thread:client-io-thread-3
2026-03-20 22:38:12,574 INFO [main]	create thread:client-io-thread-4
2026-03-20 22:38:12,574 DEBUG [client-io-thread-3]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0xc06f5244, L:/127.0.0.1:51146 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,576 DEBUG [client-io-thread-4]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0x4057fef3, L:/127.0.0.1:51147 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,577 INFO [main]	create thread:client-io-thread-5
2026-03-20 22:38:12,579 INFO [main]	create thread:client-io-thread-6
2026-03-20 22:38:12,579 DEBUG [client-io-thread-5]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0xcb3ec8f1, L:/127.0.0.1:51148 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,582 DEBUG [client-io-thread-6]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0x39d5ebbf, L:/127.0.0.1:51149 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,583 INFO [main]	create thread:client-io-thread-7
2026-03-20 22:38:12,586 INFO [main]	create thread:client-io-thread-8
2026-03-20 22:38:12,586 DEBUG [client-io-thread-7]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0xa8aee634, L:/127.0.0.1:51150 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,588 DEBUG [client-io-thread-8]	future callback, connect to 127.0.0.1:8051 success, channel=[id: 0x87fc310f, L:/127.0.0.1:51151 - R:/127.0.0.1:8051]
2026-03-20 22:38:12,669 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=appendEntries
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=installSnapshot
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=preVote
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=requestVote
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:12,671 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:12,671 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:12,705 INFO [main]	create thread:fairStrategy-timer-thread-1
2026-03-20 22:38:12,706 INFO [main]	create thread:client-work-thread-1
2026-03-20 22:38:12,706 INFO [main]	create thread:client-work-thread-2
2026-03-20 22:38:12,706 INFO [main]	create thread:client-work-thread-3
2026-03-20 22:38:12,706 INFO [main]	create thread:client-work-thread-4
2026-03-20 22:38:12,706 INFO [main]	create thread:client-work-thread-5
2026-03-20 22:38:12,707 INFO [main]	create thread:client-work-thread-6
2026-03-20 22:38:12,707 INFO [main]	create thread:client-work-thread-7
2026-03-20 22:38:12,708 INFO [main]	create thread:client-work-thread-8
2026-03-20 22:38:12,708 INFO [main]	create thread:client-work-thread-9
2026-03-20 22:38:12,708 INFO [main]	create thread:client-work-thread-10
2026-03-20 22:38:12,708 INFO [main]	create thread:client-work-thread-11
2026-03-20 22:38:12,708 INFO [main]	create thread:client-work-thread-12
2026-03-20 22:38:12,709 INFO [main]	create thread:client-work-thread-13
2026-03-20 22:38:12,709 INFO [main]	create thread:client-work-thread-14
2026-03-20 22:38:12,709 INFO [main]	create thread:client-work-thread-15
2026-03-20 22:38:12,709 INFO [main]	create thread:client-work-thread-16
2026-03-20 22:38:14,141 INFO [main]	create thread:client-io-thread-1
2026-03-20 22:38:14,144 WARN [main]	init min idle object pool failed
2026-03-20 22:38:14,144 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:14,144 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=appendEntries
2026-03-20 22:38:14,144 DEBUG [client-io-thread-1]	future callback, connect to 127.0.0.1:8053 failed due to Connection refused: no further information: /127.0.0.1:8053
2026-03-20 22:38:14,144 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:14,144 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=installSnapshot
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:14,145 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=preVote
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:14,145 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusServiceAsync, methodName=requestVote
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:14,145 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:14,145 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:14,145 DEBUG [main]	client serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:14,145 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
